"Tick","QueueSize","Benefit","WaitTime","Served"
1,0,-3,0,0
2,0,-6,0,0
3,0,-9,0,0
4,0,-12,0,0
5,0,-15,0,0
6,0,-18,0,0
7,0,-21,0,0
8,1,-23,0,1
9,1,-26,1,1
10,2,-29,2,1
11,2,-32,4,1
12,1,-34,2,2
13,1,-37,3,2
14,1,-40,4,2
15,1,-43,5,2
16,1,-46,6,2
17,1,-48,0,3
18,1,-51,1,3
19,2,-54,2,3
20,1,-56,1,4
21,1,-59,2,4
22,1,-62,3,4
23,0,-64,0,5
24,0,-67,0,5
25,0,-70,0,5
26,0,-73,0,5
27,0,-76,0,5
28,0,-79,0,5
29,1,-81,0,6
30,1,-84,1,6
31,1,-87,2,6
32,2,-90,3,6
33,1,-92,1,7
34,2,-95,2,7
35,2,-98,4,7
36,2,-101,6,7
37,3,-104,8,7
38,2,-106,5,8
39,3,-109,7,8
40,3,-112,10,8
41,3,-115,13,8
42,2,-117,8,9
43,2,-120,10,9
44,2,-123,12,9
45,2,-126,14,9
46,2,-139,16,9
47,1,-151,8,10
48,1,-164,9,10
49,1,-177,10,10
50,0,-189,0,11
